"total","car","public_trans","bus","subway","railroad","ferry","bike","walk","taxi","work_at_home"
2262,1567,179,98,30,7,0,131,68,18,299
3677,1734,745,728,17,0,0,457,385,62,294
1333,595,313,253,16,0,0,218,112,16,79
1824,1088,262,206,46,0,0,198,121,21,134
984,457,211,127,48,0,0,76,177,17,46
1580,994,118,90,20,0,0,146,83,6,233
1984,1110,222,156,35,0,0,185,239,70,158
2206,1627,107,96,0,0,0,177,46,22,227
2472,1419,299,287,0,0,0,298,237,43,176
1552,1061,103,86,7,0,0,153,43,15,177
1764,1166,168,147,0,12,0,124,45,0,261
1635,941,220,127,32,10,0,146,66,33,229
1681,1308,127,123,4,0,0,29,28,40,149
1552,997,253,152,66,0,0,67,0,10,225
2489,1838,281,263,0,10,0,122,18,44,186
2935,1990,493,322,134,0,0,165,17,58,212
2742,2059,307,199,51,41,0,63,77,65,171
2409,1874,134,115,10,0,0,169,65,19,148
2784,1644,244,228,8,0,0,485,86,15,310
2548,1394,290,277,0,0,0,390,102,62,310
1737,1102,222,218,4,0,0,237,21,38,117
1667,1150,120,94,16,0,0,199,67,0,131
1673,923,99,99,0,0,0,449,37,7,158
2137,882,348,340,8,0,0,505,85,48,269
1966,1156,370,176,47,0,0,206,126,32,76
1406,822,170,38,71,9,0,190,77,21,126
2305,1552,193,193,0,0,0,318,44,7,191
3512,2360,301,266,0,0,0,278,111,47,415
822,712,24,24,0,0,0,29,0,17,40
2189,1475,364,311,26,0,0,137,13,39,161
1525,957,82,70,12,0,0,277,52,37,120
1473,1046,186,117,25,0,0,46,85,30,80
1711,1034,202,102,0,13,0,304,6,36,129
2267,1473,336,202,34,0,0,316,68,10,64
3578,2587,490,478,12,0,0,223,77,17,184
1865,1174,290,281,0,0,0,242,51,32,76
3274,2448,442,432,0,0,0,99,141,21,123
2761,1617,150,145,0,0,0,140,529,61,264
3096,2618,233,233,0,0,0,66,88,13,78
2805,2134,216,203,0,0,0,157,122,0,176
1702,1307,217,217,0,0,0,32,73,0,73
538,442,7,7,0,0,0,21,12,5,51
1619,951,211,186,0,0,0,66,245,13,133
1749,1091,151,78,37,0,0,111,110,0,286
894,608,29,14,4,0,0,14,53,6,184
2848,1425,569,241,0,16,0,214,418,22,200
1870,738,415,248,44,0,0,162,328,0,227
2132,1031,423,91,80,0,0,101,528,0,49
1765,896,206,18,10,0,0,109,393,19,142
3629,1548,703,159,128,51,0,216,808,97,257
2813,1080,681,258,143,38,0,76,676,16,284
1406,514,300,109,36,8,0,101,429,14,48
2096,582,396,185,10,9,0,17,875,42,184
2196,852,379,207,35,0,0,45,766,0,154
2882,1699,116,92,0,0,0,101,632,77,257
4111,2702,629,484,9,0,0,200,290,28,262
825,610,49,49,0,0,0,19,129,0,18
1135,796,157,157,0,0,0,20,59,8,95
1113,863,94,94,0,0,0,26,9,7,114
1594,1171,91,91,0,0,0,100,36,21,175
2320,1529,99,88,0,0,0,75,322,21,274
2970,2515,89,70,19,0,0,77,52,7,230
2174,1689,317,317,0,0,0,0,54,0,114
1878,1522,67,67,0,0,0,10,19,69,191
2956,2356,226,226,0,0,0,90,31,29,224
2547,1913,318,318,0,0,0,36,42,9,229
1313,1011,75,75,0,0,0,12,14,6,195
2852,2049,384,384,0,0,0,16,167,0,236
1497,1258,92,92,0,0,0,6,0,7,134
1734,1332,252,252,0,0,0,40,18,8,84
