passage	phrase_node	phrase_text	phrase_gloss	phrase_function	lexeme	occ_text	occ_node
Genesis 30:6	614705	אֱלֹהִ֔ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	15674
Genesis 30:8	614729	נַפְתּוּלֵ֨י אֱלֹהִ֧ים ׀ 	wrestling god(s)	Objc	>LHJM/	אֱלֹהִ֧ים ׀ 	15705
Genesis 30:17	614844	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	15863
Genesis 30:18	614856	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	15878
Genesis 30:20	614878	אֱלֹהִ֥ים ׀ 	god(s)	Subj	>LHJM/	אֱלֹהִ֥ים ׀ 	15903
Genesis 30:22	614901	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	15932
Genesis 30:22	614906	אֱלֹהִ֔ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	15938
Genesis 30:23	614918	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	15951
Genesis 31:5	615219	אלֹהֵ֣י אָבִ֔י 	god(s) father	Subj	>LHJM/	אלֹהֵ֣י 	16463
Genesis 31:7	615240	אֱלֹהִ֔ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֔ים 	16490
Genesis 31:9	615266	אֱלֹהִ֛ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	16521
Genesis 31:11	615292	מַלְאַ֧ךְ הָאֱלֹהִ֛ים 	messenger the god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	16560
Genesis 31:16	615360	אֱלֹהִים֙ 	god(s)	Subj	>LHJM/	אֱלֹהִים֙ 	16656
Genesis 31:16	615369	אֱלֹהִ֛ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	16669
Genesis 31:24	615446	אֱלֹהִ֛ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֛ים 	16794
Genesis 31:29	615513	אלֹהֵ֨י אֲבִיכֶ֜ם 	god(s) father	Subj	>LHJM/	אלֹהֵ֨י 	16901
Genesis 31:30	615533	אֶת־אֱלֹהָֽי׃ 	<object marker> god(s)	Objc	>LHJM/	אֱלֹהָֽי׃ 	16931
Genesis 31:32	615550	אֶת־אֱלֹהֶיךָ֮ 	<object marker> god(s)	Objc	>LHJM/	אֱלֹהֶיךָ֮ 	16953
Genesis 31:42	615694	אֱלֹהֵ֣י אָבִי֩ אֱלֹהֵ֨י אַבְרָהָ֜ם וּפַ֤חַד יִצְחָק֙ 	god(s) father god(s) Abraham and trembling Isaac	Subj	>LHJM/	אֱלֹהֵ֣י 	17167
Genesis 31:42	615694	אֱלֹהֵ֣י אָבִי֩ אֱלֹהֵ֨י אַבְרָהָ֜ם וּפַ֤חַד יִצְחָק֙ 	god(s) father god(s) Abraham and trembling Isaac	Subj	>LHJM/	אֱלֹהֵ֨י 	17169
Genesis 31:42	615703	אֱלֹהִ֖ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֖ים 	17187
Genesis 31:50	615813	אֱלֹהִ֥ים 	god(s)	Subj	>LHJM/	אֱלֹהִ֥ים 	17329
Genesis 31:53	615846	אֱלֹהֵ֨י אַבְרָהָ֜ם וֵֽאלֹהֵ֤י נָחֹור֙ אֱלֹהֵ֖י אֲבִיהֶ֑ם 	god(s) Abraham and god(s) Nahor god(s) father	Subj	>LHJM/	אֱלֹהֵ֨י 	17391
