clnode,chapter,verse,subj_n,subj,obj_n,obj,obj_n2,obj2,cmpl_n,cmpl,cmpl_n2,cmpl2
489684,17,3,790243,PJ,_,_,_,_,_,_,_,_
489685,17,4,790246,>NJ,790248,>RXWT_PRJY,_,_,_,_,_,_
489686,17,5,_,_,790250,>CRJ,_,_,790251,B_M<GLWTJK,_,_
489687,17,5,790254,P<MJ,_,_,_,_,_,_,_,_
489688,17,6,790255,>NJ,_,_,_,_,_,_,_,_
489691,17,6,_,_,790261,>ZNK,_,_,790262,LJ,_,_
489692,17,6,_,_,790264,>MRTJ,_,_,_,_,_,_
489693,17,7,_,_,790266,XSDJK,_,_,_,_,_,_
489696,17,7,_,_,_,_,_,_,790270,B_JMJNK,_,_
489699,17,9,_,_,_,_,_,_,790275,M_PNJ_RC<JM,_,_
489702,17,9,_,_,_,_,_,_,790281,<LJ,_,_
489704,17,10,_,_,_,_,_,_,790286,B_G>WT,_,_
489706,17,11,_,_,790290,<JNJHM,_,_,_,_,_,_
489707,17,11,_,_,_,_,_,_,790293,B__>RY,_,_
489708,17,12,790294,DMJNW,_,_,_,_,_,_,_,_
489712,17,12,_,_,_,_,_,_,790301,B_MSTRJM,_,_
489715,17,13,_,_,790305,PNJW,_,_,_,_,_,_
489717,17,13,_,_,790308,NPCJ,_,_,790309,M_RC<,_,_
489718,17,14,_,_,_,_,_,_,790311,M_MTJM,_,_
489720,17,14,_,_,_,_,_,_,790314,M_MTJM_M_XLD,_,_
489721,17,14,790315,XLQM,_,_,_,_,_,_,_,_
489722,17,14,_,_,790318,YPJNK,790320,BVNM,_,_,_,_
489723,17,14,790322,BNJM,_,_,_,_,_,_,_,_
489724,17,14,_,_,790325,JTRM,_,_,790326,L_<WLLJHM,_,_
489725,17,15,790327,>NJ,790330,PNJK,_,_,_,_,_,_
489726,17,15,_,_,790333,TMWNTK,_,_,_,_,_,_
489730,18,1,_,_,790339,>T_DBRJ_H_CJRH_H_Z>T,_,_,790338,L_JHWH,_,_
489731,18,1,790342,JHWH,790343,>WTW,_,_,790344,M_KP_KL_>JBJW_W_M_JD_C>WL,_,_
